,action_type,mechanism_of_action,molecule_chembl_id,target_chembl_id,uniprotID
0,INHIBITOR,Carbonic anhydrase VII inhibitor,CHEMBL19,CHEMBL2326,P43166
1,INHIBITOR,Carbonic anhydrase I inhibitor,CHEMBL17,CHEMBL261,P00915
2,INHIBITOR,Carbonic anhydrase I inhibitor,CHEMBL20,CHEMBL261,P00915
3,INHIBITOR,Carbonic anhydrase I inhibitor,CHEMBL19,CHEMBL261,P00915
4,INHIBITOR,Cytochrome b inhibitor,CHEMBL1450,CHEMBL1777,Q02768
5,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1722209,CHEMBL245,P20309
6,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1240,CHEMBL245,P20309
7,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200906,CHEMBL245,P20309
8,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1724,CHEMBL245,P20309
9,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200479,CHEMBL245,P20309
10,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL517712,CHEMBL245,P20309
11,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200604,CHEMBL245,P20309
12,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200803,CHEMBL245,P20309
13,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200935,CHEMBL245,P20309
14,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL551466,CHEMBL245,P20309
15,AGONIST,Muscarinic acetylcholine receptor M3 agonist,CHEMBL1200764,CHEMBL245,P20309
16,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL3545181,CHEMBL245,P20309
17,AGONIST,Muscarinic acetylcholine receptor M3 agonist,CHEMBL1184,CHEMBL245,P20309
18,AGONIST,Muscarinic acetylcholine receptor M3 agonist,CHEMBL14,CHEMBL245,P20309
19,AGONIST,Muscarinic acetylcholine receptor M3 agonist,CHEMBL550,CHEMBL245,P20309
20,AGONIST,Muscarinic acetylcholine receptor M3 agonist,CHEMBL1200330,CHEMBL245,P20309
21,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1231,CHEMBL245,P20309
22,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1133,CHEMBL245,P20309
23,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200891,CHEMBL245,P20309
24,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1201027,CHEMBL245,P20309
25,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,CHEMBL1200347,CHEMBL245,P20309
26,INHIBITOR,Inositol-1(or 4)-monophosphatase 1 inhibitor,CHEMBL1200826,CHEMBL1786,P29218
27,ANTAGONIST,Vasopressin V2 receptor antagonist,CHEMBL344159,CHEMBL1790,P30518
28,INHIBITOR,Gastric lipase inhibitor,CHEMBL175247,CHEMBL1796,P07098
29,ANTAGONIST,Cysteinyl leukotriene receptor 1 antagonist,CHEMBL603,CHEMBL1798,Q9Y271
30,ANTAGONIST,Cysteinyl leukotriene receptor 1 antagonist,CHEMBL1200681,CHEMBL1798,Q9Y271
31,INHIBITOR,Thrombin inhibitor,CHEMBL1166,CHEMBL204,P00734
32,INHIBITOR,Plasminogen inhibitor,CHEMBL877,CHEMBL1801,P00747
33,INHIBITOR,Plasminogen inhibitor,CHEMBL1046,CHEMBL1801,P00747
34,INHIBITOR,Carbonic anhydrase II inhibitor,CHEMBL220491,CHEMBL205,P00918
35,INHIBITOR,Carbonic anhydrase II inhibitor,CHEMBL17,CHEMBL205,P00918
36,INHIBITOR,Carbonic anhydrase II inhibitor,CHEMBL19,CHEMBL205,P00918
37,INHIBITOR,Carbonic anhydrase II inhibitor,CHEMBL220492,CHEMBL205,P00918
38,INHIBITOR,Carbonic anhydrase II inhibitor,CHEMBL20,CHEMBL205,P00918
39,INHIBITOR,DNA topoisomerase II alpha inhibitor,CHEMBL1563,CHEMBL1806,P11388
40,INHIBITOR,DNA topoisomerase II alpha inhibitor,CHEMBL359744,CHEMBL1806,P11388
41,INHIBITOR,DNA topoisomerase II alpha inhibitor,CHEMBL1417019,CHEMBL1806,P11388
42,INHIBITOR,DNA topoisomerase II alpha inhibitor,CHEMBL1200976,CHEMBL1806,P11388
43,INHIBITOR,Angiotensin-converting enzyme inhibitor,CHEMBL1201011,CHEMBL1808,P12821
44,INHIBITOR,Angiotensin-converting enzyme inhibitor,CHEMBL1519,CHEMBL1808,P12821
45,INHIBITOR,Angiotensin-converting enzyme inhibitor,CHEMBL1168,CHEMBL1808,P12821
46,INHIBITOR,Angiotensin-converting enzyme inhibitor,CHEMBL1694,CHEMBL1808,P12821
47,INHIBITOR,Angiotensin-converting enzyme inhibitor,CHEMBL1560,CHEMBL1808,P12821
48,INHIBITOR,Angiotensin-converting enzyme inhibitor,CHEMBL419213,CHEMBL1808,P12821
49,INHIBITOR,Angiotensin-converting enzyme inhibitor,CHEMBL1200659,CHEMBL1808,P12821
50,INHIBITOR,Angiotensin-converting enzyme inhibitor,CHEMBL1200831,CHEMBL1808,P12821
51,AGONIST,Thyrotropin-releasing hormone receptor agonist,CHEMBL1472,CHEMBL1810,P34981
52,AGONIST,Prostanoid EP1 receptor agonist,CHEMBL495,CHEMBL1811,P34995
